transaction_id,items
T001,"bread;milk;butter"
T002,"bread;milk;eggs"
T003,"bread;butter;jam"
T004,"milk;eggs;cereal"
T005,"bread;milk;butter;eggs"
T006,"bread;jam;butter"
T007,"milk;cereal;banana"
T008,"bread;milk;cereal"
T009,"eggs;milk;cheese"
T010,"bread;butter;cheese"
T011,"milk;banana;cereal"
T012,"bread;milk;butter;jam"
T013,"eggs;cheese;ham"
T014,"bread;milk;eggs;butter"
T015,"banana;milk;cereal;yogurt"
T016,"bread;butter;jam;cheese"
T017,"milk;eggs;cereal;yogurt"
T018,"bread;milk;banana"
T019,"butter;jam;cheese"
T020,"bread;milk;butter;cereal"
T021,"eggs;milk;cheese;bread"
T022,"banana;yogurt;cereal"
T023,"bread;butter;jam"
T024,"milk;cereal;eggs"
T025,"bread;milk;butter;cheese"
T026,"ham;cheese;bread"
T027,"milk;banana;yogurt"
T028,"bread;eggs;butter"
T029,"cereal;milk;banana;yogurt"
T030,"bread;milk;jam"
T031,"bread;butter;eggs"
T032,"milk;cheese;eggs"
T033,"bread;milk;butter;jam"
T034,"banana;cereal;yogurt;milk"
T035,"bread;cheese;ham"
T036,"milk;eggs;bread"
T037,"butter;jam;bread"
T038,"cereal;milk;eggs;banana"
T039,"bread;butter;cheese;jam"
T040,"milk;yogurt;banana"
T041,"bread;milk;butter"
T042,"eggs;cheese;bread;milk"
T043,"banana;cereal;milk"
T044,"bread;jam;butter"
T045,"milk;cereal;yogurt"
T046,"bread;butter;eggs;cheese"
T047,"ham;cheese;eggs"
T048,"bread;milk;cereal;banana"
T049,"jam;butter;cheese"
T050,"bread;milk;eggs;butter"
T051,"banana;yogurt;milk;cereal"
T052,"bread;cheese;ham;butter"
T053,"milk;eggs;cereal"
T054,"bread;jam;butter;milk"
T055,"cheese;eggs;ham"
T056,"bread;milk;banana;yogurt"
T057,"butter;jam;bread;cheese"
T058,"milk;cereal;banana"
T059,"bread;eggs;milk"
T060,"bread;butter;jam"
